loss,phase1.motifs_prob,phase2.replication_prob,phase2.ung_prob,phase2.short_patch_ber_prob,phase2.lp_ber.profile,phase2.lp_ber.motifs_prob,phase2.mmr.motifs_prob
5.081385156148284,[0.08382898 0.3180353  0.08252161 0.11152529 0.30959099 0.09449782],0.4043994743227186,1.0,0.3957770989868166,"[3.69690787e-02 1.00335434e-27 5.52454135e-03 2.86103066e-02
 4.08571085e-03 1.00335434e-27 1.28642842e-03 1.00335434e-27
 1.10682141e-02 1.01185507e-02 1.00335434e-27 3.67585510e-02
 1.18596183e-01 6.54407365e-02 1.16148033e-01 1.00335434e-27
 8.96566611e-02 9.63709440e-02 6.20329236e-02 1.00335434e-27
 1.82467155e-02 6.33542984e-02 1.00335434e-27 1.00335434e-27
 7.71154359e-02 6.67213188e-04 1.00335434e-27 7.17072394e-02
 1.00335434e-27 1.00335434e-27 8.62422347e-02]",[0.14630548 0.14432606 0.35483742 0.35453104],[0.25 0.25 0.25 0.25]
4.978496910267054,[0.07645225 0.33281458 0.07388612 0.10766549 0.32153953 0.08764203],0.39881898106437275,1.0,0.3881554739149822,"[3.16872602e-02 9.96020508e-28 5.60351459e-03 2.63240065e-02
 9.96020508e-28 9.96020508e-28 9.96020508e-28 9.96020508e-28
 9.29206392e-03 5.91881015e-03 9.96020508e-28 3.86761582e-02
 1.24126471e-01 6.74916523e-02 1.20272972e-01 9.96020508e-28
 9.02193769e-02 1.00323663e-01 6.35364289e-02 9.96020508e-28
 1.29532670e-02 6.41361624e-02 9.96020508e-28 9.96020508e-28
 7.69674432e-02 9.96020508e-28 9.96020508e-28 7.39646078e-02
 9.96020508e-28 9.96020508e-28 8.85061423e-02]",[0.13815353 0.13605209 0.36263357 0.36316082],[0.25 0.25 0.25 0.25]
5.050939139724739,[0.06963404 0.34759733 0.06550984 0.10287607 0.33405096 0.08033176],0.39340045591751893,1.0,0.3808390427367944,"[3.22971277e-02 2.00761770e-03 4.22828044e-03 2.65496985e-02
 2.15801063e-03 9.84292426e-28 3.43403449e-04 9.84292426e-28
 5.79868435e-03 1.57769191e-03 9.84292426e-28 3.73714017e-02
 1.27486649e-01 6.92777337e-02 1.22256502e-01 9.84292426e-28
 9.15076732e-02 1.03363553e-01 6.34958666e-02 9.84292426e-28
 1.19579413e-02 6.27788689e-02 9.84292426e-28 9.84292426e-28
 7.28327181e-02 9.84292426e-28 9.84292426e-28 7.43543242e-02
 9.84292426e-28 9.84292426e-28 8.83562537e-02]",[0.13036252 0.12774689 0.3701099  0.37178068],[0.25 0.25 0.25 0.25]
5.215052031866958,[0.06347919 0.36179825 0.05775756 0.09794399 0.34662673 0.07239428],0.38704357411742923,1.0,0.3731246783241191,"[3.40310572e-02 3.33833138e-03 2.77072463e-03 2.81935905e-02
 1.69675492e-03 9.78779466e-28 3.48694157e-03 1.53773488e-04
 3.52521401e-03 1.10759354e-03 9.78779466e-28 3.55719462e-02
 1.29300616e-01 7.22663656e-02 1.22739074e-01 9.78779466e-28
 9.17826912e-02 1.04410701e-01 6.33669186e-02 9.78779466e-28
 1.12173426e-02 5.95128849e-02 9.78779466e-28 9.78779466e-28
 6.81715565e-02 9.78779466e-28 9.78779466e-28 7.59983789e-02
 9.78779466e-28 9.78779466e-28 8.73575436e-02]",[0.12243187 0.1192449  0.37756448 0.38075875],[0.25 0.25 0.25 0.25]
5.069538851216301,[0.06110517 0.37434891 0.04978946 0.09290092 0.35774576 0.06410979],0.38125564804596734,1.0,0.365984984616777,"[3.73487396e-02 5.18932549e-03 1.55745033e-03 2.88509052e-02
 2.30454322e-03 9.82001445e-28 5.78654931e-03 9.82001445e-28
 1.07612596e-03 9.82001445e-28 9.82001445e-28 3.38189284e-02
 1.31629931e-01 7.71743380e-02 1.22382100e-01 9.82001445e-28
 9.19833840e-02 1.04847279e-01 6.35018179e-02 9.82001445e-28
 1.08502608e-02 5.67765587e-02 9.82001445e-28 9.82001445e-28
 6.38314470e-02 9.82001445e-28 9.82001445e-28 7.71435593e-02
 9.82001445e-28 9.82001445e-28 8.39467567e-02]",[0.11527571 0.11088574 0.38490526 0.38893329],[0.25 0.25 0.25 0.25]
4.899401121778402,[0.05740633 0.38733439 0.04140174 0.09006479 0.36813507 0.05565768],0.3766266559319987,1.0,0.3598574220592972,"[4.08174692e-02 6.85406976e-03 1.85391807e-03 2.81320859e-02
 2.35416929e-03 9.87014024e-28 8.01049294e-03 6.20676152e-04
 9.87014024e-28 9.87014024e-28 9.87014024e-28 3.06990934e-02
 1.34459329e-01 8.31607389e-02 1.23545900e-01 9.87014024e-28
 9.31154853e-02 1.07216980e-01 6.32942573e-02 9.87014024e-28
 9.55248390e-03 5.26596803e-02 9.87014024e-28 9.87014024e-28
 5.82021263e-02 9.87014024e-28 9.87014024e-28 7.59227266e-02
 9.87014024e-28 9.87014024e-28 7.95283179e-02]",[0.10792721 0.10340083 0.39227301 0.39639895],[0.25 0.25 0.25 0.25]
5.330690694577901,[0.05733303 0.3975864  0.03388879 0.08910684 0.37532345 0.0467615 ],0.3713956535924479,1.0,0.35340771754247075,"[4.38772586e-02 6.96404044e-03 1.36841999e-03 2.59241233e-02
 4.06674309e-03 9.85311361e-28 9.53288419e-03 4.27373132e-03
 2.65033641e-03 9.85311361e-28 9.85311361e-28 3.05048437e-02
 1.37415796e-01 8.98873257e-02 1.23170928e-01 9.85311361e-28
 9.43356874e-02 1.08084640e-01 6.36004334e-02 9.85311361e-28
 7.10163073e-03 4.74897743e-02 9.85311361e-28 9.85311361e-28
 5.37815318e-02 9.85311361e-28 9.85311361e-28 7.23944082e-02
 9.85311361e-28 9.85311361e-28 7.35754633e-02]",[0.10157389 0.09581408 0.39828888 0.40432314],[0.25 0.25 0.25 0.25]
4.990813370123155,[0.05897562 0.40651243 0.02649762 0.08863594 0.38153432 0.03784407],0.3677043066556803,1.0,0.34777595494160946,"[4.67163057e-02 8.62182223e-03 3.51588177e-04 2.28768641e-02
 5.45976201e-03 9.92392763e-28 9.16645668e-03 8.84373937e-03
 4.40142466e-03 9.92392763e-28 9.92392763e-28 3.11402608e-02
 1.40683893e-01 9.79888237e-02 1.23667336e-01 9.92392763e-28
 9.80031472e-02 1.08502860e-01 6.27639813e-02 9.92392763e-28
 4.56621168e-03 4.28328339e-02 9.92392763e-28 9.92392763e-28
 4.87166987e-02 9.92392763e-28 9.92392763e-28 6.80535916e-02
 9.92392763e-28 9.92392763e-28 6.66423985e-02]",[0.09573342 0.08875116 0.40364322 0.41187221],[0.25 0.25 0.25 0.25]
5.0894964131569695,[0.06076557 0.41228925 0.0207078  0.0895859  0.3841862  0.03246528],0.364872856252922,1.0,0.3426038011994043,"[4.83485361e-02 1.26871022e-02 2.78735848e-03 2.08844137e-02
 7.39990620e-03 9.88782130e-28 1.00993604e-02 1.39983000e-02
 5.43260031e-03 9.88782130e-28 9.88782130e-28 3.01998487e-02
 1.43334281e-01 1.05961485e-01 1.23197068e-01 9.88782130e-28
 1.00778176e-01 1.08094791e-01 6.18331005e-02 9.88782130e-28
 1.14873929e-03 3.77977692e-02 9.88782130e-28 9.88782130e-28
 4.43639353e-02 9.88782130e-28 9.88782130e-28 6.29933388e-02
 9.88782130e-28 9.88782130e-28 5.86598892e-02]",[0.09009071 0.08248722 0.40814664 0.41927544],[0.25 0.25 0.25 0.25]
5.118099428751568,[0.06390252 0.41580013 0.01682614 0.09007341 0.3839825  0.02941531],0.36238454606825204,1.0,0.3377829269392335,"[4.91517933e-02 1.54050335e-02 4.76260791e-03 1.75825781e-02
 9.51551678e-03 9.91719456e-28 9.19533842e-03 1.85147302e-02
 7.82850350e-03 9.91719456e-28 9.91719456e-28 3.11098183e-02
 1.47621763e-01 1.13540088e-01 1.22655538e-01 9.91719456e-28
 1.04491086e-01 1.07206974e-01 6.08953653e-02 9.91719456e-28
 9.91719456e-28 3.27615175e-02 9.91719456e-28 9.91719456e-28
 3.96425701e-02 9.91719456e-28 9.91719456e-28 5.78222234e-02
 9.91719456e-28 9.91719456e-28 5.02969548e-02]",[0.08521197 0.07711287 0.41169375 0.42598141],[0.25 0.25 0.25 0.25]
